Название,Количество подписчиков,Частота постов в день,Описание,Упомянутые города
ПК Ищу крышу,10316,100.0,,
ПК ищу крышу,2898,14.285714285714286,,
Аренда квартира Алматы,25193,33.333333333333336,,Алматы
SDU [housing],3460,50.0,,
Аренда Жилья.Подселение Алматы,5366,50.0,,Алматы
Квартиры Алматы | Аренда квартир Алматы | Поиск соседей Алматы,22769,25.0,,Алматы
AIU Housing🏠,481,4.545454545454546,,
Аренда квартира Алматы,12777,8.333333333333334,,Алматы
Narxoz [housing search],761,7.6923076923076925,,
KBTU [housing search],475,3.125,,
Аренда квартир Алматы,246,0.29069767441860467,,Алматы
Совместная аренда Алматы,911,1.9230769230769231,,Алматы
Квартира Шымкент/ Аренда /Этажи/ Недвижимость,799,0.2994011976047904,,Шымкент
